country,region,year,fertility_rate,birth_attended_staff_rate,child_mortality_rate,maternal_mortality_rate,average_life_expectancy,health_spending_per_person,health_spending_rate
"Congo, Rep.",WBR,1996,0.0513,0.0,0.10800000000000001,0.00346,52.1,25.7,0.0284
Colombia,AMR,1996,0.026,0.0,0.0287,0.000767,72.8,230.0,0.08789999999999999
Comoros,AFR,1996,0.0525,0.516,0.106,0.0027199999999999998,59.2,17.7,0.039
Cape Verde,AFR,1996,0.0438,0.0,0.053700000000000005,0.0012900000000000001,69.7,57.6,0.0461
Costa Rica,AMR,1996,0.0274,0.0,0.0147,0.000361,77.1,222.0,0.0665
Cuba,AMR,1996,0.016399999999999998,0.998,0.0101,0.000521,75.8,120.0,0.0529
Cyprus,EUR,1996,0.0204,1.0,0.00851,0.00015099999999999998,75.8,755.0,0.0521
Czech Republic,EUR,1996,0.013,1.0,0.0076900000000000015,7.280000000000001e-05,74.0,403.0,0.0641
Germany,EUR,1996,0.0132,0.0,0.00617,8.45e-05,77.1,3100.0,0.104
Djibouti,EMR,1996,0.0515,0.0,0.109,0.00394,60.5,30.7,0.04
Denmark,EUR,1996,0.0175,0.0,0.006229999999999999,6.720000000000001e-05,75.9,2880.0,0.0821
Dominican Republic,AMR,1996,0.0307,0.955,0.047,0.000801,73.5,113.0,0.0534
Algeria,AFR,1996,0.0321,0.0,0.0425,0.0017,69.6,61.8,0.0379
Ecuador,AMR,1996,0.0329,0.0,0.0378,0.000907,73.5,80.8,0.044
Egypt,EMR,1996,0.0357,0.463,0.0606,0.0007859999999999999,66.9,45.6,0.0426
Eritrea,AFR,1996,0.0579,0.206,0.107,0.0047,54.0,7.76,0.0365
Estonia,EUR,1996,0.0138,0.994,0.0147,8.960000000000001e-05,70.0,219.0,0.0658
Ethiopia,AFR,1996,0.0694,0.0,0.166,0.0055899999999999995,50.1,4.22,0.0294
Finland,EUR,1996,0.0176,0.984,0.00492,4.59e-05,77.2,2010.0,0.0803
Fiji,WBR,1996,0.032400000000000005,0.963,0.0244,0.00114,66.0,87.9,0.032400000000000005
France,EUR,1996,0.0173,0.0,0.00612,0.00015800000000000002,78.4,2740.0,0.104
"Micronesia, Fed. Sts.",WBR,1996,0.0461,0.0,0.0556,0.0017,62.2,175.0,0.0862
Gabon,AFR,1996,0.049,0.0,0.0887,0.00278,60.0,150.0,0.0295
United Kingdom,EUR,1996,0.0174,0.0,0.007019999999999999,9.740000000000001e-05,77.0,1440.0,0.0684
Georgia,EUR,1996,0.0181,0.0,0.0441,0.000261,70.9,46.0,0.07490000000000001
Ghana,AFR,1996,0.051,0.0,0.11199999999999999,0.0017800000000000001,59.8,20.4,0.0514
Guinea,AFR,1996,0.0633,0.0,0.195,0.0052899999999999996,54.0,27.8,0.0561
Gambia,AFR,1996,0.0602,0.0,0.134,0.00386,61.4,18.9,0.0557
Guinea-Bissau,AFR,1996,0.062,0.0,0.195,0.00403,49.5,20.3,0.0695
Equatorial Guinea,AFR,1996,0.0596,0.0,0.171,0.0036799999999999997,52.7,26.5,0.0468
Greece,EUR,1996,0.0136,0.999,0.008119999999999999,4.84e-05,77.9,1110.0,0.0855
Grenada,AMR,1996,0.029900000000000006,0.0,0.0174,0.000432,71.2,203.0,0.0695
Guatemala,AMR,1996,0.0499,0.0,0.0611,0.0021899999999999997,65.2,55.6,0.0361
Guyana,AMR,1996,0.0307,0.0,0.0515,0.00159,63.0,45.4,0.0469
Honduras,AMR,1996,0.0453,0.5489999999999999,0.0443,0.00202,69.4,35.5,0.0496
Croatia,EUR,1996,0.0151,0.998,0.0096,8.149999999999999e-05,73.5,369.0,0.0711
Haiti,AMR,1996,0.0478,0.0,0.11900000000000001,0.00441,55.7,23.8,0.0645
Hungary,EUR,1996,0.0149,0.995,0.0119,0.00011499999999999999,70.8,315.0,0.0708
Indonesia,SEAR,1996,0.0263,0.0,0.0632,0.0037,66.4,22.5,0.02
India,SEAR,1996,0.0358,0.0,0.106,0.00355,62.0,15.9,0.04
Ireland,EUR,1996,0.0191,0.0,0.0072900000000000005,5.45e-05,76.0,1330.0,0.0644
Iran,EMR,1996,0.0296,0.0,0.0422,0.000426,70.7,86.1,0.037000000000000005
Iraq,EMR,1996,0.0533,0.0,0.048,0.0008640000000000001,67.3,8.53,0.0169
Iceland,EUR,1996,0.021,0.998,0.00496,4.49e-05,79.0,2280.0,0.08310000000000001
Israel,EUR,1996,0.0292,0.0,0.00818,8.159999999999999e-05,78.0,1380.0,0.0748
Italy,EUR,1996,0.0123,0.0,0.007019999999999999,5.08e-05,78.5,1630.0,0.07339999999999999
Jamaica,AMR,1996,0.0274,0.9,0.0252,0.000675,75.2,123.0,0.0468
Jordan,EMR,1996,0.0447,0.0,0.0301,0.00109,71.8,132.0,0.0861
Japan,WBR,1996,0.0139,1.0,0.00545,0.000101,80.7,2600.0,0.0705
Kazakhstan,EUR,1996,0.0213,0.981,0.0517,0.000742,63.9,58.3,0.0435
Kenya,AFR,1996,0.054000000000000006,0.0,0.11800000000000001,0.00257,56.3,17.7,0.0415
Kyrgyz Republic,WBR,1996,0.0316,0.981,0.0604,0.00046399999999999995,66.3,24.8,0.06309999999999999
Cambodia,WBR,1996,0.045,0.0,0.12,0.0038799999999999998,59.1,29.0,0.0948
Kiribati,WBR,1996,0.043,0.0,0.07970000000000001,0.00372,55.6,80.1,0.0923
South Korea,WBR,1996,0.0158,0.0,0.00964,0.000167,74.8,494.0,0.0392
Kuwait,EMR,1996,0.028,0.982,0.0139,0.00014099999999999998,78.8,671.0,0.0346
Lao,WBR,1996,0.0517,0.0,0.124,0.0048200000000000005,56.1,17.6,0.046
Lebanon,EMR,1996,0.0254,0.89,0.0245,0.00032799999999999995,73.5,414.0,0.107
Liberia,AFR,1996,0.0611,0.0,0.235,0.00606,49.6,0.0,0.0
Libya,EMR,1996,0.0344,0.0,0.0319,0.00026000000000000003,73.5,188.0,0.0327
St. Lucia,WBR,1996,0.0277,0.0,0.0193,0.0004170000000000001,71.8,209.0,0.0549
Sri Lanka,SEAR,1996,0.0227,0.0,0.0193,0.00074,70.8,26.1,0.0345
Lesotho,AFR,1996,0.044800000000000006,0.0,0.10400000000000001,0.00148,55.8,34.4,0.0791
Lithuania,EUR,1996,0.015700000000000002,1.0,0.0135,0.000165,70.3,131.0,0.0558
Luxembourg,EUR,1996,0.0172,0.0,0.0059700000000000005,0.00011999999999999999,76.9,2810.0,0.0565
Latvia,EUR,1996,0.0127,1.0,0.019,0.00023799999999999998,69.0,141.0,0.0608
Morocco,EMR,1996,0.0316,0.0,0.0596,0.00237,68.1,51.6,0.0384
Moldova,EUR,1996,0.0181,1.0,0.0386,0.000465,66.9,40.4,0.103
Madagascar,AFR,1996,0.0591,0.0,0.131,0.00358,58.2,9.3,0.0315
Maldives,SEAR,1996,0.0398,0.0,0.0577,0.0022199999999999998,69.2,112.0,0.0632
Mexico,AMR,1996,0.0295,0.0,0.0329,0.0006259999999999999,72.7,183.0,0.0468
